Numéro de notice,Titre,Facteur ou auteur,Type d'objet,Instrument niveau 1,Instrument niveau 2,Instrument niveau 3,Collection d'origine,Incontournable,URL Photographie,URL Enregistrement,Enregistrement,Continent,Pays,Code ISO-2,Ville,Coordonnées,Autres descripteurs géographiques
772549,Cithare sur table / E.2003.5.3,Anonyme,Instrument de musique,Instrument à cordes,Cithares,Cithare sur table,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029221.jpg,,,Europe,Autriche,AT,,,
772550,Cithare sur table / E.2003.5.4,Anonyme,Instrument de musique,Instrument à cordes,Cithares,Cithare sur table,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029224.jpg,,,Europe,Autriche,AT,,,
772551,Cithare sur table / E.2003.5.5,Anonyme,Instrument de musique,Instrument à cordes,Cithares,Cithare sur table,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029226.jpg,,,Europe,Autriche,AT,,,
772553,Harpe / E.2003.5.7,Anonyme,Instrument de musique,Instrument à cordes,Harpes,Harpe,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028039.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
772554,Harpe à double mouvement / E.2003.5.8,Anonyme,Instrument de musique,Instrument à cordes,Harpes,Harpe,,,https://mimo-international.com/media/CM/IMAGE/CMIM000028038.jpg,,,Europe,Royaume-Uni,GB,Londres,"51.50853, -0.12574",Angleterre
772555,Luth à 6 choeurs / E.2003.5.9,"Deloget, Marcel (1911-après 1985)",Instrument de musique,Instrument à cordes,Luths,Luth,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027800.jpg,,,Europe,France,FR,Versailles,"48.80359, 2.13424",
772556,Archicistre / E.2003.5.10,Anonyme,Instrument de musique,Instrument à cordes,Cistres,Archicistre,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029230.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
772570,Archicistre / E.2003.5.11,"Deloget, Marcel (1911-après 1985)",Instrument de musique,Instrument à cordes,Cistres,Archicistre,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029235.jpg,,,Europe,France,FR,Versailles,"48.80359, 2.13424",
772572,Guitare à 5 choeurs / E.2003.5.12,"Aubert, Claude (17..-après 1790)",Instrument de musique,Instrument à cordes,Guitares,Guitare,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027787.jpg,,,Europe,France,FR,Troyes,"48.30073, 4.08524",
772577,"Guitare de concert dite ""classique"" / E.2003.5.13","Friederich, Daniel (1932-2020)",Instrument de musique,Instrument à cordes,Guitares,Guitare,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027781.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
772579,Luth à 10 choeurs / E.2003.5.14,"Karouby, James",Instrument de musique,Instrument à cordes,Luths,Luth,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027802.jpg,,,,,,Paris,"48.85341, 2.3488",
772581,Piano droit / E.2003.5.15,Anonyme,Instrument de musique,Instrument à clavier,Pianos,Piano droit,,,https://mimo-international.com/media/CM/IMAGE/CMIM000030007.jpg,,,Europe,Pays-Bas,NL,,,
772585,Clavecin / E.2003.6.1,"Couchet, Ioannes (1615-1655)",Instrument de musique,Instrument à clavier,Clavecins,Clavecin,,x,https://mimo-international.com/media/CM/IMAGE/CMIM000027405.jpg,https://mimo-international.com/media/CM/AUDIO/CM0772585eCOAU000840201_05.mp3,"Suite en ré majeur : gaillarde Louis Couperin, compositeur. Christophe Rousset, clavecin",Europe,Belgique,BE,Anvers,"51.22047, 4.40026",
772596,"Recueil d'oeuvres pour harpe : ""Collection de Pièces pour la Harpe et Praticables sur le Forte Piano ou XIIIe, XVe et XVIe , oeuvres réunies composées par J.B. KRUMPHOLTZ"" / E.2004.1.1","Krumpholtz, Jean-Baptiste (1747-1790)",Document écrit,,,,,,,,,,,,Paris,"48.85341, 2.3488",
772602,Harmonicorde / E.2004.2.1,"Debain, Alexandre François (1809-1877)",Instrument de musique,Instrument à clavier,Harmoniums,Harmonicorde,,,https://mimo-international.com/media/CM/IMAGE/CMIM000031282.jpg,,,Europe,France,FR,Paris,"48.85341, 2.3488",
774017,"Tambour à fente ""garamut"" / E.2005.1.1",Anonyme,Instrument de musique,,,,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027472.jpg,,,Océanie,Papouasie-Nouvelle-Guinée,PG,,,Sepik | Madang | Baie Yos Sudarso
774018,Piano à queue / E.2005.2.1,Anonyme,Instrument de musique,Instrument à clavier,Pianos,Piano à queue,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029240.jpg,,,Europe,Royaume-Uni,GB,Londres,"51.50853, -0.12574",Angleterre
774021,Luth / E.2005.3.1,"Maler, Laux (vers 1485-1552)",Instrument de musique,Instrument à cordes,Luths,Luth,,,https://mimo-international.com/media/CM/IMAGE/CMIM000027337.jpg,,,Europe,Italie,IT,Bologne,"44.49381, 11.33875",
774025,Piano à queue / E.2005.4.1,"Gebauhr, Carl Julius",Instrument de musique,Instrument à clavier,Pianos,Piano à queue,,,https://mimo-international.com/media/CM/IMAGE/CMIM000031175.jpg,https://mimo-international.com/media/CM/AUDIO/CM0774025eCOAU000790901_05.mp3,"Sechs Stücke in kanonischer Form (Studien für den-Pedalflügel), op.56 : Nicht zu schnell Robert Schumann, compositeur. Mathieu Dupouy, Soo Park, piano",Europe,Allemagne,DE,,,Königsberg
774028,Tasseau de caisse de luth / E.2005.5.1,"Sellas, Matteo I (1599-1654)",Élément d'instrument de musique,,,,,,,,,Europe,Italie,IT,Venise,"45.43713, 12.33265",
774032,Cithare sur table / E.2005.6.1,Anonyme,Instrument de musique,Instrument à cordes,Cithares,Cithare sur table,,,https://mimo-international.com/media/CM/IMAGE/CMIM000029238.jpg,,,Europe,Autriche,AT,,,Allemagne
