iso_a3,name,latitude,longitude
FJI,Fiji,-17.31630942638265,163.85316464458234
TZA,Tanzania,-6.257732428506092,34.75298985475595
ESH,W. Sahara,24.291172960208623,-12.13783111160779
CAN,Canada,61.46907614534896,-98.14238137209708
USA,United States of America,45.70562800215178,-112.5994359115045
KAZ,Kazakhstan,48.19166075218232,67.2846109811001
UZB,Uzbekistan,41.748602664652246,63.20363952823182
PNG,Papua New Guinea,-6.451644514630347,145.31757462782247
IDN,Indonesia,-2.221737936520542,117.42340756227364
ARG,Argentina,-35.4468214894951,-65.17536077114173
CHL,Chile,-39.04701430994844,-71.5206439451643
COD,Dem. Rep. Congo,-2.8502757110956667,23.582955831479083
SOM,Somalia,4.752347756504953,45.72670076723565
KEN,Kenya,0.5959662521769523,37.791555286661385
SDN,Sudan,15.990585003116717,29.862604012257922
TCD,Chad,15.328867399839682,18.581329525332894
HTI,Haiti,18.900700691843337,-72.65801330535574
DOM,Dominican Rep.,18.884487087982258,-70.46235845697531
RUS,Russia,61.98084075071274,96.87522325596434
BHS,Bahamas,25.515491725336624,-77.92997080393516
FLK,Falkland Is.,-51.71322176551185,-59.42097279311021
NOR,Norway,69.15685630975351,15.468119955206761
GRL,Greenland,74.77048769398986,-41.50018111492097
ATF,Fr. S. Antarctic Lands,-49.306454911671985,69.5315804704237
TLS,Timor-Leste,-8.767760362467003,125.96630027368401
ZAF,South Africa,-28.947033259979115,25.048013879861678
LSO,Lesotho,-29.625290493692013,28.170105295170494
MEX,Mexico,23.935371902244835,-102.5763495239869
URY,Uruguay,-32.780904365230825,-56.003278666548475
BRA,Brazil,-10.806773643498916,-53.05434003576711
BOL,Bolivia,-16.72898701530584,-64.64140560603113
PER,Peru,-9.191562905134553,-74.39180581684722
COL,Colombia,3.927213862709704,-73.07773208697478
PAN,Panama,8.530019388864652,-80.10916483549376
CRI,Costa Rica,9.965671127464528,-84.17542309600948
NIC,Nicaragua,12.848190428036988,-85.02031850080252
HND,Honduras,14.822947081652929,-86.58996383801542
SLV,El Salvador,13.726091625794197,-88.87290317032377
GTM,Guatemala,15.699360612026911,-90.36945836053154
BLZ,Belize,17.197089911451545,-88.70342125299318
VEN,Venezuela,7.162132267639002,-66.16382727830238
GUY,Guyana,4.790225375174759,-58.97120310856251
SUR,Suriname,4.1200080317588865,-55.91145629952073
FRA,France,42.46070432663372,-2.8766966992706267
ECU,Ecuador,-1.4547717055405804,-78.38416674608374
PRI,Puerto Rico,18.2372245709719,-66.47922227695507
JAM,Jamaica,18.137636127868436,-77.32425480164892
CUB,Cuba,21.631751541025228,-78.96068490970256
ZWE,Zimbabwe,-18.906987947858802,29.788548371892524
BWA,Botswana,-22.099711378826413,23.773081465789428
NAM,Namibia,-22.099776931731068,17.156168126194093
SEN,Senegal,14.354139988452022,-14.50980278585943
MLI,Mali,17.267772061700715,-3.543294339453343
MRT,Mauritania,20.20926720635376,-10.326396925234992
BEN,Benin,9.647430780663699,2.337377553496156
NER,Niger,17.345552814745542,9.324427099857923
NGA,Nigeria,9.548318418209965,7.995127754089786
CMR,Cameroon,5.663095287992696,12.611551546501774
TGO,Togo,8.439541954669616,0.9964039436703582
GHA,Ghana,7.928651813099648,-1.2369685557063992
CIV,Côte d'Ivoire,7.5537550070104915,-5.6120436452252225
GIN,Guinea,10.44827287727134,-11.060853741185456
GNB,Guinea-Bissau,12.022704382325685,-15.110623751667879
LBR,Liberia,6.431619862252993,-9.410836154371117
SLE,Sierra Leone,8.53035372615305,-11.795257428559948
BFA,Burkina Faso,12.311650494136712,-1.77653745205594
CAF,Central African Rep.,6.5427787059213145,20.374347291243915
COG,Congo,-0.8378010872252886,15.13446176741353
GAB,Gabon,-0.6470481398040288,11.687751174902044
GNQ,Eq. Guinea,1.6458643199600753,10.366031325064027
ZMB,Zambia,-13.395067553524187,27.727591918760577
MWI,Malawi,-13.172834992341919,34.193605326922366
MOZ,Mozambique,-17.230448975659677,35.47261597864435
SWZ,eSwatini,-26.48985528852001,31.39525590206532
AGO,Angola,-12.245869036133188,17.47057255231345
