iso_a3,name,latitude,longitude
EST,Estonia,58.643695426630906,25.824725613026608
DEU,Germany,51.13372269040778,10.288485092742851
BGR,Bulgaria,42.7531187620217,25.19511095327711
GRC,Greece,39.066715899713955,22.719813447095053
TUR,Turkey,39.06837194061471,35.116900150938406
ALB,Albania,41.141353306048785,20.03242643144321
HRV,Croatia,45.01623399593114,16.566189771645533
CHE,Switzerland,46.79173768366762,8.118300613385486
LUX,Luxembourg,49.76570507415103,5.965223432343999
BEL,Belgium,50.65244095902296,4.580834113854935
NLD,Netherlands,52.298700374441786,5.512217100965399
PRT,Portugal,39.63404977497817,-8.055765588295687
ESP,Spain,40.348656106226734,-3.6170206023873743
IRL,Ireland,53.18059120995006,-8.010236544877012
NCL,New Caledonia,-21.26135761252651,165.53447460087543
SLB,Solomon Is.,-8.852497470848528,159.9666154474296
NZL,New Zealand,-41.662578757158684,172.70192594405574
AUS,Australia,-25.730654779726077,134.50277547536595
LKA,Sri Lanka,7.700534417248105,80.66723574931648
CHN,China,36.555066531858685,103.88361230063249
TWN,Taiwan,23.740964979784938,120.97480073748623
ITA,Italy,42.751183052964265,12.140788372235871
DNK,Denmark,56.06393446179454,9.876372937675002
GBR,United Kingdom,53.91477348053706,-2.8531353951805545
ISL,Iceland,65.07427633529105,-18.761028770831768
AZE,Azerbaijan,40.22069054766167,47.553909558006055
GEO,Georgia,42.16201501415301,43.48154265409026
PHL,Philippines,11.763799362297663,122.90267236988682
MYS,Malaysia,3.7255884257737155,109.6981484486297
BRN,Brunei,4.690250542520635,114.91510877393951
SVN,Slovenia,46.12542205901039,14.938152320795732
FIN,Finland,64.50409403963651,26.211764610296353
SVK,Slovakia,48.7267113517275,19.507657147433708
CZE,Czechia,49.775245294369,15.334558102365815
ERI,Eritrea,15.427276751412931,38.67818692786484
JPN,Japan,37.66311081170466,138.06496213270776
PRY,Paraguay,-23.248041946292087,-58.387387833505706
YEM,Yemen,15.913231950143004,47.535044758543485
SAU,Saudi Arabia,24.123289839105293,44.51636376826477
ATA,Antarctica,-80.49198288284343,20.571000569842635
CYN,N. Cyprus,35.273957681259716,33.5582859592249
CYP,Cyprus,34.90706085094344,33.03955380295407
MAR,Morocco,29.885394698302058,-8.420479544549693
EGY,Egypt,26.50661999974957,29.844461513124415
LBY,Libya,26.997460407020338,17.974352779160352
ETH,Ethiopia,8.653999188132575,39.551255792937745
DJI,Djibouti,11.773044395533926,42.4980197360445
SOL,Somaliland,9.757971805222988,46.23074953490769
UGA,Uganda,1.2954855035097297,32.35755031998686
RWA,Rwanda,-2.0135144658341346,29.91896392224289
BIH,Bosnia and Herz.,44.1807677629747,17.816883270390086
MKD,North Macedonia,41.60592964714007,21.697903375280845
SRB,Serbia,44.23303653365162,20.819651926382583
MNE,Montenegro,42.78903960655908,19.2861817215929
-99,Kosovo,42.579367131816994,20.895355721342227
TTO,Trinidad and Tobago,10.428237089201879,-61.33036691444967
SSD,S. Sudan,7.292890133516845,30.198617582461907
